eta;professione;stato_civile;istruzione;default;prestito_casa;prestito_personale;mese;giorno_settimana;campagne;giorni_p;precedente;outcome_p;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
55;blue-collar;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;technician;single;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;admin.;married;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;technician;married;university.degree;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
59;technician;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;self-employed;married;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;technician;single;university.degree;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;unknown;married;university.degree;unknown;unknown;unknown;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
46;admin.;married;unknown;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
59;technician;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;blue-collar;married;unknown;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;management;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;blue-collar;divorced;basic.4y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;unknown;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;services;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;technician;married;basic.9y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;admin.;married;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;technician;married;basic.4y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
58;management;unknown;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
32;entrepreneur;married;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
38;admin.;single;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;admin.;married;university.degree;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;admin.;married;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;technician;single;professional.course;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;admin.;married;university.degree;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;blue-collar;married;basic.9y;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;married;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;blue-collar;married;basic.9y;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;admin.;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;housemaid;married;basic.4y;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
60;admin.;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
53;admin.;single;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;blue-collar;married;basic.4y;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;technician;married;professional.course;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;management;married;university.degree;unknown;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;services;married;high.school;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;unemployed;married;professional.course;unknown;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
25;technician;single;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
47;entrepreneur;married;university.degree;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;blue-collar;married;basic.9y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.6y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.6y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
48;admin.;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;admin.;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;blue-collar;single;basic.9y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33;admin.;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;admin.;married;basic.9y;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;blue-collar;single;basic.4y;unknown;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;management;married;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;management;divorced;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
47;admin.;married;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;unknown;married;unknown;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;admin.;married;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;blue-collar;divorced;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
55;technician;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33;services;married;high.school;unknown;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;management;married;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;blue-collar;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;blue-collar;married;basic.4y;unknown;unknown;unknown;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
38;admin.;married;high.school;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;entrepreneur;married;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
38;technician;single;university.degree;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
31;admin.;divorced;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;management;married;basic.6y;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;admin.;married;university.degree;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;technician;married;basic.9y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
34;admin.;married;high.school;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;married;university.degree;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;unknown;married;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
60;admin.;married;unknown;unknown;no;yes;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33;unemployed;married;basic.9y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.6y;no;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;services;married;professional.course;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;management;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
53;admin.;divorced;university.degree;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;technician;single;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;blue-collar;married;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;services;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;blue-collar;married;basic.4y;no;no;no;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;services;married;unknown;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;admin.;divorced;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;admin.;divorced;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;services;single;high.school;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;housemaid;married;basic.6y;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;married;high.school;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;entrepreneur;married;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;technician;married;unknown;unknown;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
58;unemployed;married;basic.4y;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;services;divorced;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;blue-collar;married;basic.9y;unknown;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;management;married;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;blue-collar;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;admin.;divorced;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;blue-collar;divorced;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;admin.;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
48;blue-collar;divorced;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;blue-collar;married;high.school;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;blue-collar;divorced;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;services;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;technician;married;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
32;admin.;married;university.degree;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;admin.;married;university.degree;no;no;yes;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;admin.;married;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
31;technician;divorced;professional.course;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;technician;married;professional.course;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
37;blue-collar;married;basic.6y;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;technician;married;professional.course;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;blue-collar;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;blue-collar;married;basic.6y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;management;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;management;divorced;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;housemaid;married;basic.4y;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;blue-collar;married;basic.4y;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;services;married;high.school;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;blue-collar;married;basic.9y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
43;unemployed;single;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;management;married;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;management;married;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
53;blue-collar;married;basic.4y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
38;unknown;divorced;high.school;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.4y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;single;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;admin.;married;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;blue-collar;married;basic.4y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
60;blue-collar;married;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;entrepreneur;married;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;services;divorced;high.school;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;entrepreneur;married;unknown;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;blue-collar;married;unknown;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;blue-collar;married;basic.9y;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;blue-collar;married;unknown;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;blue-collar;married;unknown;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;technician;single;professional.course;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
59;services;married;high.school;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
24;management;single;university.degree;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;blue-collar;single;basic.9y;unknown;yes;yes;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;blue-collar;married;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.9y;unknown;no;no;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;services;divorced;high.school;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;entrepreneur;married;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
38;services;married;high.school;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;admin.;divorced;unknown;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;blue-collar;married;unknown;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;management;divorced;university.degree;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;blue-collar;married;high.school;unknown;no;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;services;married;high.school;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;technician;married;university.degree;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;admin.;single;university.degree;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;services;married;high.school;no;no;no;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
46;management;married;basic.9y;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;services;married;high.school;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;admin.;single;basic.6y;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
28;services;married;high.school;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;blue-collar;married;basic.9y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;technician;married;high.school;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
46;blue-collar;married;basic.6y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;blue-collar;married;basic.9y;no;yes;yes;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;yes
36;admin.;married;university.degree;no;yes;no;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
54;blue-collar;married;basic.4y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
57;management;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
51;technician;married;basic.6y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
49;blue-collar;married;basic.4y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;admin.;married;university.degree;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
41;technician;married;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
38;blue-collar;single;basic.9y;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;management;divorced;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;technician;married;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;blue-collar;single;basic.9y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
48;blue-collar;married;basic.4y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
37;admin.;married;high.school;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
34;blue-collar;single;basic.9y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;admin.;married;basic.9y;unknown;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;blue-collar;married;basic.6y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
33;services;married;high.school;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
32;services;single;basic.6y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;blue-collar;married;high.school;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;admin.;married;unknown;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;blue-collar;married;basic.9y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;student;single;university.degree;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;student;single;university.degree;unknown;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;unemployed;married;professional.course;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;services;single;basic.4y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;student;single;university.degree;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;student;single;basic.9y;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
55;housemaid;divorced;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
59;admin.;married;university.degree;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;blue-collar;married;professional.course;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;housemaid;married;basic.4y;unknown;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
30;blue-collar;single;unknown;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
30;blue-collar;single;unknown;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;housemaid;married;basic.4y;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;services;married;high.school;no;no;no;may;mon;3;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;married;high.school;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
43;technician;married;unknown;unknown;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
36;services;single;basic.6y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
46;technician;married;basic.4y;unknown;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
40;technician;married;basic.9y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
42;technician;married;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
35;admin.;single;university.degree;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
45;blue-collar;married;basic.4y;no;yes;yes;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;admin.;married;professional.course;no;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
50;services;divorced;professional.course;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
32;management;divorced;basic.4y;unknown;yes;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
39;admin.;married;high.school;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
52;self-employed;married;university.degree;unknown;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
44;admin.;married;professional.course;no;yes;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
56;blue-collar;married;basic.4y;no;no;no;may;mon;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
48;admin.;married;high.school;no;no;no;may;mon;2;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191;no
